Name,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
United States,11,6,18,18,32,77,0,49,11,96,47,45,38,48,42,56,46,39,24,27,24
Russia,5,10,6,9,16,36,0,12,72,79,13,9,17,18,22,18,24,20,24,25,19
United Kingdom,2,0,0,6,7,5,0,4,6,2,4,2,1,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,3,2,1,3,3,4,7,3,5,0,8,5,4,6
China,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,1,2,1
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
